,Saison,Semaine Entrainement,Date,Time on playing field (s),Total distance (m),Distance in speed zone ? 25 km/h (m),Jumps,Impacts,Accelerations,Decelerations,Sprints,Change of direction,Jump Load per mass (J/kg),Accum Acceleration Load,High Metabolic Load Distance (m),Maximum speed (km/h),Maximum acceleration (m/s²),Maximum deceleration (m/s²),Blessures
0,2018/2019,1,30/07/2018,5178.0,3784.0,32.0,45.0,0.0,35.0,10.0,0.0,5.0,159.3,513.7,182.0,28.59,3.57,-3.23,0.0
1,2018/2019,1,30/07/2018,5061.0,3751.0,21.0,24.0,0.0,12.0,6.0,0.0,1.0,61.31,441.06,97.0,27.14,4.35,-2.6,0.0
2,2018/2019,1,30/07/2018,5854.0,3938.0,27.0,25.0,0.0,12.0,7.0,0.0,5.0,67.34,451.08,107.0,26.55,3.37,-2.95,0.0
3,2018/2019,1,30/07/2018,4739.0,3683.0,15.0,45.0,0.0,38.0,24.0,0.0,3.0,153.39,397.33,207.0,26.28,4.35,-2.77,0.0
4,2018/2019,1,30/07/2018,5272.0,3307.0,15.0,36.0,0.0,19.0,3.0,0.0,0.0,104.1,379.77,128.0,25.53,3.54,-2.67,0.0
5,2018/2019,1,30/07/2018,5555.0,3908.0,8.0,32.0,0.0,19.0,6.0,0.0,1.0,94.97,419.67,121.0,25.39,4.37,-4.21,0.0
6,2018/2019,1,30/07/2018,5269.0,3386.0,8.0,34.0,0.0,19.0,2.0,0.0,1.0,107.71,320.31,113.0,25.38,3.61,-2.23,0.0
7,2018/2019,1,30/07/2018,5558.0,3521.0,5.0,11.0,0.0,18.0,5.0,0.0,1.0,31.43,351.87,120.0,25.1,3.49,-4.41,0.0
8,2018/2019,1,30/07/2018,5662.0,2911.0,4.0,20.0,0.0,13.0,6.0,0.0,3.0,62.8,411.79,108.0,25.02,3.42,-2.93,0.0
9,2018/2019,1,30/07/2018,4441.0,2470.0,0.0,2.0,0.0,16.0,11.0,0.0,0.0,5.47,335.94,86.0,24.34,3.52,-3.98,0.0
10,2018/2019,1,30/07/2018,4497.0,3270.0,0.0,37.0,0.0,26.0,6.0,0.0,2.0,100.68,396.1,160.0,24.23,3.31,-2.31,0.0
11,2018/2019,1,30/07/2018,4868.0,2348.0,0.0,2.0,0.0,15.0,5.0,0.0,0.0,4.59,304.52,85.0,24.13,4.37,-3.15,0.0
12,2018/2019,1,30/07/2018,5750.0,3306.0,0.0,13.0,0.0,6.0,3.0,0.0,0.0,32.45,372.85,72.0,23.26,3.46,-2.95,0.0
13,2018/2019,1,30/07/2018,5091.0,2993.0,0.0,28.0,0.0,9.0,2.0,0.0,1.0,85.19,452.45,87.0,22.66,3.35,-3.17,0.0
14,2018/2019,1,01/08/2018,3868.0,3877.0,77.0,13.0,0.0,51.0,33.0,0.0,1.0,46.41,436.6,732.0,28.63,4.18,-4.35,0.0
15,2018/2019,1,01/08/2018,3555.0,3768.0,121.0,9.0,0.0,45.0,16.0,0.0,0.0,33.22,379.79,692.0,27.44,4.6,-2.9,0.0
16,2018/2019,1,01/08/2018,6661.0,5334.0,51.0,31.0,0.0,65.0,37.0,0.0,8.0,87.99,606.07,967.0,26.83,3.64,-2.85,0.0
17,2018/2019,1,01/08/2018,6326.0,5680.0,23.0,43.0,0.0,65.0,41.0,0.0,13.0,173.52,711.12,508.0,26.8,3.82,-3.39,0.0
18,2018/2019,1,01/08/2018,6219.0,5370.0,8.0,17.0,0.0,39.0,20.0,0.0,7.0,51.6,570.69,286.0,25.92,3.71,-2.61,0.0
19,2018/2019,1,01/08/2018,6590.0,5419.0,0.0,31.0,0.0,72.0,26.0,0.0,7.0,91.78,581.12,817.0,24.93,3.52,-2.97,1.0
20,2018/2019,1,01/08/2018,6984.0,5857.0,0.0,41.0,0.0,42.0,27.0,0.0,7.0,118.4,660.66,314.0,24.45,4.24,-3.82,0.0
21,2018/2019,1,01/08/2018,5802.0,4952.0,0.0,26.0,0.0,46.0,37.0,0.0,1.0,70.46,514.55,661.0,24.27,3.74,-3.6,0.0
22,2018/2019,1,01/08/2018,6262.0,4841.0,0.0,29.0,0.0,46.0,33.0,0.0,1.0,90.21,512.87,586.0,24.19,3.62,-3.12,0.0
23,2018/2019,1,01/08/2018,6867.0,5449.0,0.0,33.0,0.0,51.0,24.0,0.0,14.0,103.56,611.3,418.0,23.94,3.98,-3.39,0.0
24,2018/2019,1,01/08/2018,6672.0,5591.0,0.0,19.0,0.0,27.0,12.0,0.0,5.0,49.82,608.8,215.0,23.27,3.01,-2.81,0.0
25,2018/2019,1,01/08/2018,3259.0,2656.0,0.0,10.0,0.0,23.0,6.0,0.0,4.0,28.76,265.5,137.0,22.63,3.14,-2.96,0.0
26,2018/2019,1,01/08/2018,6694.0,5105.0,0.0,25.0,0.0,36.0,15.0,0.0,1.0,63.29,525.88,206.0,21.99,3.89,-3.08,0.0
27,2018/2019,1,01/08/2018,6616.0,4998.0,0.0,17.0,0.0,53.0,21.0,0.0,3.0,48.18,512.04,341.0,21.64,3.46,-3.55,0.0
28,2018/2019,1,01/08/2018,5464.0,3274.0,0.0,3.0,0.0,26.0,18.0,0.0,2.0,11.24,372.67,70.0,21.0,4.18,-3.59,0.0
29,2018/2019,1,01/08/2018,4519.0,3310.0,0.0,3.0,0.0,22.0,22.0,0.0,0.0,11.33,446.57,75.0,17.3,3.64,-3.19,0.0
30,2018/2019,1,02/08/2018,4321.0,4173.0,0.0,13.0,0.0,9.0,7.0,0.0,5.0,41.45,531.23,64.0,24.76,5.0,-2.59,0.0
31,2018/2019,1,02/08/2018,3955.0,4202.0,0.0,16.0,0.0,29.0,21.0,0.0,10.0,59.95,424.97,164.0,24.23,3.24,-3.61,0.0
32,2018/2019,1,02/08/2018,4421.0,4335.0,0.0,23.0,0.0,26.0,23.0,0.0,20.0,58.84,486.54,127.0,23.25,4.61,-3.14,0.0
33,2018/2019,1,02/08/2018,4261.0,3154.0,0.0,13.0,0.0,13.0,14.0,0.0,8.0,34.67,425.03,78.0,23.05,4.64,-3.89,0.0
34,2018/2019,1,02/08/2018,4525.0,3618.0,0.0,18.0,0.0,27.0,24.0,0.0,10.0,47.65,394.37,175.0,22.79,3.49,-3.22,0.0
35,2018/2019,1,02/08/2018,3833.0,3924.0,0.0,17.0,0.0,3.0,6.0,0.0,1.0,47.12,442.66,47.0,22.72,3.06,-2.69,0.0
36,2018/2019,1,02/08/2018,3238.0,3195.0,0.0,5.0,0.0,10.0,9.0,0.0,0.0,12.0,358.58,40.0,22.7,3.1,-2.56,0.0
37,2018/2019,1,02/08/2018,4623.0,4928.0,0.0,33.0,0.0,22.0,23.0,0.0,4.0,87.96,521.19,125.0,20.6,3.17,-3.36,0.0
38,2018/2019,1,02/08/2018,3883.0,3991.0,0.0,26.0,0.0,32.0,21.0,0.0,8.0,98.4,550.72,143.0,20.33,3.34,-3.04,0.0
39,2018/2019,1,02/08/2018,4471.0,3777.0,0.0,27.0,0.0,19.0,10.0,0.0,1.0,71.48,410.0,60.0,20.26,4.29,-3.5,0.0
40,2018/2019,1,02/08/2018,4484.0,3603.0,0.0,19.0,0.0,8.0,4.0,0.0,5.0,51.74,381.96,39.0,20.08,3.0,-2.67,0.0
41,2018/2019,1,02/08/2018,4238.0,3824.0,0.0,19.0,0.0,18.0,8.0,0.0,5.0,54.06,375.57,76.0,20.04,3.15,-2.83,0.0
42,2018/2019,1,02/08/2018,3358.0,3380.0,0.0,2.0,0.0,14.0,11.0,0.0,2.0,3.42,395.03,69.0,19.78,3.14,-3.62,0.0
43,2018/2019,1,02/08/2018,4489.0,4252.0,0.0,14.0,0.0,10.0,6.0,0.0,6.0,33.19,469.35,41.0,19.69,2.69,-2.3,0.0
44,2018/2019,1,02/08/2018,4299.0,4235.0,0.0,26.0,0.0,19.0,7.0,0.0,7.0,77.49,469.29,90.0,19.48,3.51,-3.12,0.0
45,2018/2019,1,03/08/2018,6384.0,6821.0,6.0,25.0,5.0,56.0,67.0,3.0,9.0,78.37,654.62,503.0,25.43,3.4,-4.13,0.0
46,2018/2019,1,03/08/2018,6269.0,6049.0,5.0,29.0,6.0,55.0,40.0,7.0,4.0,79.7,562.65,494.0,25.4,3.6,-4.27,0.0
47,2018/2019,1,03/08/2018,3830.0,4193.0,0.0,17.0,0.0,38.0,38.0,2.0,8.0,57.77,419.23,278.0,24.9,3.72,-3.97,0.0
48,2018/2019,1,03/08/2018,4761.0,3179.0,0.0,41.0,0.0,36.0,23.0,0.0,8.0,152.53,446.33,154.0,24.52,4.22,-3.31,0.0
49,2018/2019,1,03/08/2018,6256.0,5985.0,0.0,31.0,2.0,70.0,65.0,3.0,14.0,87.58,600.02,548.0,23.91,3.65,-3.63,0.0
50,2018/2019,1,03/08/2018,6067.0,3945.0,0.0,24.0,0.0,26.0,17.0,0.0,10.0,75.45,439.05,113.0,23.15,3.6,-3.07,0.0
51,2018/2019,1,03/08/2018,6564.0,5961.0,0.0,27.0,6.0,61.0,58.0,2.0,5.0,66.48,626.17,414.0,23.13,3.46,-3.76,0.0
52,2018/2019,1,03/08/2018,6469.0,6128.0,0.0,47.0,9.0,46.0,39.0,1.0,4.0,124.84,620.21,289.0,23.0,3.14,-3.38,0.0
53,2018/2019,1,03/08/2018,6210.0,5250.0,0.0,17.0,7.0,61.0,60.0,1.0,4.0,58.37,601.59,379.0,22.91,3.48,-3.66,0.0
54,2018/2019,1,03/08/2018,5249.0,3002.0,0.0,13.0,0.0,17.0,6.0,0.0,2.0,38.17,300.1,65.0,22.0,3.81,-3.38,0.0
55,2018/2019,1,03/08/2018,5968.0,5301.0,0.0,37.0,5.0,41.0,36.0,0.0,9.0,90.12,648.92,264.0,21.76,3.21,-3.79,0.0
56,2018/2019,1,03/08/2018,5334.0,3240.0,0.0,14.0,0.0,38.0,22.0,0.0,12.0,50.92,315.75,150.0,21.57,3.35,-3.42,0.0
57,2018/2019,1,03/08/2018,6010.0,4091.0,0.0,2.0,0.0,20.0,19.0,0.0,3.0,3.91,384.44,93.0,21.49,3.05,-3.12,0.0
58,2018/2019,1,03/08/2018,5042.0,2608.0,0.0,5.0,0.0,10.0,4.0,0.0,0.0,16.84,325.69,35.0,21.19,4.18,-3.22,0.0
59,2018/2019,1,03/08/2018,5679.0,3539.0,0.0,48.0,0.0,45.0,25.0,0.0,17.0,156.98,418.01,206.0,20.79,3.87,-3.9,0.0
60,2018/2019,1,03/08/2018,5338.0,2234.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,288.64,26.0,19.95,3.69,-2.94,0.0
61,2018/2019,1,03/08/2018,5776.0,3197.0,0.0,22.0,0.0,22.0,11.0,0.0,2.0,73.51,313.57,99.0,19.74,3.43,-3.53,0.0
62,2018/2019,1,03/08/2018,6133.0,3432.0,0.0,18.0,0.0,20.0,8.0,0.0,12.0,63.02,336.96,66.0,19.52,4.15,-4.08,0.0
63,2018/2019,1,03/08/2018,4682.0,3451.0,0.0,40.0,0.0,44.0,16.0,0.0,8.0,119.88,378.91,160.0,19.5,4.24,-4.11,0.0
64,2018/2019,1,03/08/2018,6028.0,3261.0,0.0,28.0,0.0,38.0,18.0,0.0,17.0,81.41,429.56,157.0,18.57,3.03,-3.01,1.0
65,2018/2019,1,03/08/2018,6226.0,2876.0,0.0,1.0,0.0,13.0,8.0,0.0,5.0,4.09,374.13,37.0,18.47,4.47,-3.44,0.0
66,2018/2019,1,03/08/2018,6150.0,3112.0,0.0,20.0,0.0,8.0,3.0,0.0,6.0,56.03,392.93,36.0,18.15,3.26,-3.82,0.0
67,2018/2019,1,03/08/2018,4582.0,2610.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,374.75,35.0,17.04,4.6,-3.76,0.0
68,2018/2019,1,03/08/2018,5750.0,3052.0,0.0,16.0,0.0,10.0,1.0,0.0,1.0,46.88,387.63,31.0,17.01,3.19,-2.39,0.0
69,2018/2019,1,03/08/2018,5949.0,3511.0,0.0,24.0,0.0,7.0,0.0,0.0,2.0,60.82,427.8,20.0,16.67,3.08,-2.88,0.0
70,2018/2019,1,04/08/2018,4840.0,4791.0,0.0,67.0,0.0,46.0,25.0,0.0,9.0,252.43,574.7,191.0,23.32,3.13,-2.68,0.0
71,2018/2019,1,04/08/2018,5720.0,5060.0,0.0,39.0,0.0,27.0,13.0,0.0,2.0,117.02,525.94,97.0,23.02,3.15,-3.13,0.0
72,2018/2019,1,04/08/2018,3756.0,3068.0,0.0,14.0,0.0,15.0,5.0,0.0,1.0,44.94,360.42,83.0,22.98,3.59,-3.05,0.0
73,2018/2019,1,04/08/2018,5207.0,4719.0,0.0,66.0,0.0,47.0,33.0,0.0,23.0,213.33,559.56,226.0,22.07,4.18,-3.11,0.0
74,2018/2019,1,04/08/2018,5073.0,4440.0,0.0,35.0,0.0,39.0,23.0,0.0,9.0,98.22,507.47,205.0,22.03,3.73,-3.21,0.0
75,2018/2019,1,04/08/2018,4665.0,4618.0,0.0,54.0,0.0,48.0,23.0,0.0,4.0,167.88,475.87,189.0,21.81,3.67,-3.06,0.0
76,2018/2019,1,04/08/2018,5737.0,3872.0,0.0,19.0,0.0,15.0,1.0,0.0,2.0,43.13,469.11,81.0,21.8,4.22,-2.17,0.0
77,2018/2019,1,04/08/2018,5551.0,4089.0,0.0,29.0,0.0,12.0,8.0,0.0,2.0,76.94,505.56,69.0,21.49,3.07,-3.11,0.0
78,2018/2019,1,04/08/2018,4887.0,4161.0,0.0,41.0,0.0,45.0,29.0,0.0,7.0,141.76,382.74,192.0,20.48,3.33,-3.23,0.0
79,2018/2019,1,04/08/2018,5421.0,4307.0,0.0,28.0,0.0,20.0,10.0,0.0,5.0,103.61,373.27,101.0,20.16,2.88,-2.77,0.0
80,2018/2019,1,04/08/2018,5117.0,4229.0,0.0,24.0,0.0,31.0,17.0,0.0,8.0,74.79,436.36,115.0,19.74,3.9,-2.92,0.0
81,2018/2019,1,04/08/2018,5160.0,3368.0,0.0,6.0,0.0,10.0,7.0,0.0,0.0,17.4,377.63,37.0,19.71,3.97,-2.88,0.0
82,2018/2019,1,04/08/2018,5680.0,3677.0,0.0,25.0,0.0,16.0,11.0,0.0,1.0,72.26,447.61,75.0,19.63,3.2,-2.73,0.0
83,2018/2019,1,04/08/2018,3734.0,3055.0,0.0,9.0,0.0,13.0,3.0,0.0,0.0,21.84,349.01,43.0,19.41,2.88,-2.93,0.0
84,2018/2019,1,04/08/2018,5468.0,3820.0,0.0,25.0,0.0,16.0,6.0,0.0,2.0,77.52,363.33,61.0,19.27,2.93,-2.59,0.0
85,2018/2019,1,04/08/2018,4689.0,3680.0,0.0,3.0,0.0,23.0,16.0,0.0,2.0,5.45,462.01,84.0,18.72,3.55,-3.86,0.0
86,2018/2019,2,06/08/2018,4271.0,4810.0,91.0,5.0,0.0,77.0,31.0,0.0,31.0,13.01,572.64,649.0,34.3,4.33,-2.7,0.0
87,2018/2019,2,06/08/2018,4047.0,4338.0,72.0,3.0,0.0,68.0,19.0,0.0,32.0,8.15,434.62,529.0,32.57,4.65,-3.1,0.0
88,2018/2019,2,06/08/2018,3663.0,5130.0,61.0,0.0,0.0,61.0,18.0,0.0,54.0,0.0,523.42,533.0,31.8,4.39,-2.46,0.0
89,2018/2019,2,06/08/2018,4129.0,2420.0,74.0,1.0,0.0,17.0,4.0,0.0,5.0,2.61,243.01,157.0,31.78,4.69,-4.68,0.0
90,2018/2019,2,06/08/2018,4163.0,4442.0,63.0,0.0,0.0,45.0,7.0,0.0,38.0,0.0,459.9,319.0,31.59,4.37,-3.39,0.0
91,2018/2019,2,06/08/2018,4458.0,4772.0,72.0,1.0,0.0,69.0,14.0,0.0,29.0,2.65,572.27,403.0,31.11,4.45,-3.21,0.0
92,2018/2019,2,06/08/2018,4667.0,4771.0,67.0,10.0,0.0,68.0,9.0,0.0,23.0,22.85,495.57,516.0,31.07,4.49,-3.76,0.0
93,2018/2019,2,06/08/2018,4318.0,4388.0,66.0,6.0,0.0,71.0,33.0,0.0,35.0,23.18,513.02,670.0,31.0,4.0,-2.88,0.0
94,2018/2019,2,06/08/2018,3875.0,4830.0,30.0,1.0,0.0,92.0,34.0,0.0,20.0,8.26,488.28,984.0,30.71,4.56,-3.72,0.0
95,2018/2019,2,06/08/2018,4236.0,4178.0,48.0,0.0,0.0,40.0,6.0,0.0,22.0,0.0,421.06,230.0,30.18,4.59,-3.65,0.0
96,2018/2019,2,06/08/2018,4428.0,4629.0,34.0,0.0,0.0,43.0,7.0,0.0,35.0,0.0,462.38,285.0,29.72,5.21,-3.47,0.0
97,2018/2019,2,06/08/2018,4501.0,4930.0,35.0,1.0,0.0,58.0,21.0,0.0,33.0,3.35,489.76,495.0,29.45,4.19,-2.76,0.0
98,2018/2019,2,06/08/2018,4244.0,5508.0,32.0,26.0,0.0,30.0,21.0,9.0,4.0,64.74,561.32,377.0,26.84,3.89,-3.65,0.0
99,2018/2019,2,06/08/2018,4553.0,5503.0,5.0,41.0,1.0,56.0,37.0,5.0,11.0,103.62,680.36,468.0,25.64,3.62,-3.98,0.0
100,2018/2019,2,06/08/2018,4528.0,5405.0,11.0,23.0,5.0,44.0,20.0,6.0,5.0,67.75,631.99,429.0,25.35,3.93,-3.18,0.0
101,2018/2019,2,06/08/2018,4248.0,5245.0,0.0,32.0,0.0,34.0,12.0,5.0,1.0,92.77,550.94,397.0,24.54,3.68,-2.97,0.0
102,2018/2019,2,06/08/2018,4257.0,5397.0,0.0,37.0,0.0,18.0,10.0,2.0,3.0,126.15,529.99,149.0,23.71,4.39,-3.24,0.0
103,2018/2019,2,06/08/2018,4345.0,5416.0,0.0,29.0,3.0,28.0,15.0,2.0,4.0,78.93,571.57,247.0,23.64,3.36,-3.29,0.0
104,2018/2019,2,06/08/2018,4553.0,5604.0,0.0,31.0,3.0,31.0,28.0,1.0,8.0,71.94,677.3,192.0,22.85,3.33,-3.27,0.0
105,2018/2019,2,06/08/2018,4401.0,5205.0,0.0,24.0,4.0,33.0,14.0,0.0,3.0,64.32,632.17,219.0,22.42,3.36,-3.17,0.0
106,2018/2019,2,06/08/2018,5319.0,3962.0,0.0,62.0,0.0,25.0,15.0,0.0,2.0,182.91,486.62,127.0,20.6,3.67,-2.49,0.0
107,2018/2019,2,06/08/2018,5822.0,3194.0,0.0,26.0,0.0,4.0,1.0,0.0,0.0,70.17,445.79,26.0,20.35,3.66,-2.77,0.0
108,2018/2019,2,06/08/2018,4386.0,3292.0,0.0,60.0,0.0,33.0,6.0,0.0,4.0,163.17,383.77,118.0,19.48,3.35,-2.43,0.0
109,2018/2019,2,06/08/2018,6189.0,3831.0,0.0,35.0,0.0,4.0,2.0,0.0,0.0,85.04,515.8,25.0,18.59,3.49,-2.21,0.0
110,2018/2019,2,06/08/2018,4516.0,2712.0,0.0,1.0,0.0,15.0,8.0,0.0,0.0,2.4,336.09,25.0,18.46,4.38,-3.98,0.0
111,2018/2019,2,06/08/2018,5592.0,4153.0,0.0,48.0,0.0,37.0,18.0,0.0,2.0,177.68,518.27,152.0,18.24,3.88,-3.31,0.0
112,2018/2019,2,06/08/2018,5250.0,3845.0,0.0,23.0,0.0,11.0,2.0,0.0,1.0,82.66,392.26,34.0,18.1,3.73,-2.84,0.0
113,2018/2019,2,06/08/2018,4941.0,4042.0,0.0,50.0,0.0,43.0,25.0,0.0,1.0,152.26,457.9,149.0,17.96,3.91,-2.79,0.0
114,2018/2019,2,06/08/2018,5023.0,3315.0,0.0,48.0,0.0,21.0,6.0,0.0,4.0,150.91,399.8,87.0,17.83,3.33,-2.84,0.0
115,2018/2019,2,06/08/2018,5804.0,4344.0,0.0,37.0,0.0,16.0,7.0,0.0,1.0,107.46,494.78,54.0,17.75,3.38,-2.74,0.0
116,2018/2019,2,06/08/2018,5583.0,3401.0,0.0,37.0,0.0,34.0,12.0,0.0,1.0,112.94,370.24,101.0,17.54,3.17,-2.84,0.0
117,2018/2019,2,06/08/2018,5733.0,3756.0,0.0,12.0,0.0,5.0,5.0,0.0,0.0,36.5,429.47,25.0,16.94,3.16,-2.58,0.0
118,2018/2019,2,06/08/2018,5751.0,3337.0,0.0,10.0,0.0,8.0,3.0,0.0,0.0,30.7,322.8,26.0,16.92,3.13,-2.47,0.0
119,2018/2019,2,06/08/2018,5237.0,3497.0,0.0,17.0,0.0,24.0,9.0,0.0,3.0,62.43,373.19,74.0,16.69,3.2,-2.56,0.0
120,2018/2019,2,06/08/2018,5387.0,3171.0,0.0,18.0,0.0,5.0,1.0,0.0,0.0,50.09,443.06,15.0,16.03,2.93,-2.69,0.0
121,2018/2019,2,06/08/2018,4493.0,2712.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,3.78,364.64,26.0,15.79,3.17,-3.41,0.0
122,2018/2019,2,07/08/2018,7978.0,6118.0,14.0,43.0,5.0,47.0,28.0,7.0,9.0,123.07,644.1,382.0,26.83,4.04,-3.98,0.0
123,2018/2019,2,07/08/2018,7341.0,5629.0,6.0,39.0,2.0,37.0,12.0,5.0,5.0,126.46,574.16,221.0,26.14,4.42,-3.27,0.0
124,2018/2019,2,07/08/2018,7998.0,5753.0,11.0,28.0,2.0,46.0,27.0,5.0,13.0,84.41,595.42,353.0,25.94,3.62,-3.7,0.0
125,2018/2019,2,07/08/2018,7990.0,5235.0,6.0,20.0,3.0,68.0,26.0,10.0,4.0,74.91,605.39,525.0,25.18,3.72,-3.49,0.0
126,2018/2019,2,07/08/2018,4604.0,3493.0,0.0,14.0,0.0,33.0,28.0,0.0,4.0,41.82,360.66,233.0,24.12,3.91,-3.21,0.0
127,2018/2019,2,07/08/2018,7876.0,5780.0,0.0,26.0,2.0,42.0,14.0,3.0,1.0,74.7,565.93,272.0,23.6,3.68,-2.76,0.0
128,2018/2019,2,07/08/2018,6571.0,4210.0,0.0,12.0,3.0,18.0,5.0,1.0,3.0,28.03,440.8,109.0,23.53,3.64,-2.69,0.0
129,2018/2019,2,07/08/2018,7787.0,5427.0,0.0,28.0,1.0,43.0,13.0,2.0,3.0,68.4,522.22,261.0,23.11,4.31,-4.15,0.0
130,2018/2019,2,07/08/2018,3985.0,3605.0,0.0,7.0,0.0,30.0,28.0,0.0,2.0,24.32,365.77,291.0,22.74,3.54,-3.43,0.0
131,2018/2019,2,07/08/2018,4202.0,3286.0,0.0,21.0,0.0,20.0,22.0,0.0,3.0,74.77,409.87,165.0,22.62,3.49,-3.39,0.0
132,2018/2019,2,07/08/2018,7427.0,6032.0,0.0,21.0,1.0,47.0,18.0,0.0,5.0,63.33,578.08,215.0,21.86,3.41,-3.03,0.0
133,2018/2019,2,07/08/2018,5164.0,3222.0,0.0,22.0,0.0,20.0,23.0,0.0,5.0,69.01,387.86,116.0,21.41,3.25,-3.39,0.0
134,2018/2019,2,07/08/2018,4663.0,2934.0,0.0,16.0,0.0,18.0,12.0,0.0,0.0,48.54,324.6,118.0,21.02,3.73,-2.72,0.0
135,2018/2019,2,07/08/2018,8102.0,6050.0,0.0,13.0,3.0,16.0,5.0,0.0,2.0,29.63,625.75,61.0,19.9,3.46,-3.57,0.0
136,2018/2019,2,07/08/2018,5954.0,3018.0,0.0,27.0,0.0,5.0,4.0,0.0,1.0,71.68,343.92,25.0,17.93,2.89,-2.47,0.0
137,2018/2019,2,07/08/2018,4255.0,1966.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,256.08,12.0,17.73,3.92,-4.08,0.0
138,2018/2019,2,07/08/2018,5767.0,3346.0,0.0,22.0,0.0,7.0,6.0,0.0,0.0,74.28,361.05,24.0,17.68,2.48,-2.54,0.0
139,2018/2019,2,07/08/2018,5758.0,3662.0,0.0,16.0,0.0,17.0,9.0,0.0,2.0,55.19,404.18,56.0,17.63,4.05,-2.77,0.0
140,2018/2019,2,07/08/2018,5673.0,2907.0,0.0,14.0,0.0,3.0,0.0,0.0,4.0,35.72,376.27,13.0,17.63,2.36,-2.04,0.0
141,2018/2019,2,07/08/2018,5807.0,3631.0,0.0,15.0,0.0,5.0,5.0,0.0,0.0,41.61,422.54,13.0,17.03,2.36,-2.41,1.0
142,2018/2019,2,07/08/2018,5429.0,2995.0,0.0,11.0,0.0,12.0,8.0,0.0,0.0,30.88,283.29,33.0,16.61,2.75,-2.76,0.0
143,2018/2019,2,07/08/2018,4378.0,2065.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,269.02,14.0,16.39,3.08,-2.9,0.0
144,2018/2019,2,07/08/2018,5530.0,2902.0,0.0,30.0,0.0,20.0,10.0,0.0,3.0,108.6,340.17,69.0,16.31,2.8,-2.69,0.0
145,2018/2019,2,07/08/2018,5599.0,2544.0,0.0,17.0,0.0,1.0,2.0,0.0,0.0,41.68,349.0,4.0,16.0,2.07,-2.23,0.0
146,2018/2019,2,07/08/2018,5683.0,3608.0,0.0,15.0,0.0,3.0,2.0,0.0,1.0,47.18,434.12,5.0,15.97,2.41,-2.32,0.0
147,2018/2019,2,08/08/2018,6214.0,6086.0,11.0,46.0,0.0,71.0,47.0,0.0,12.0,141.04,704.46,885.0,27.38,3.62,-3.41,0.0
148,2018/2019,2,08/08/2018,5913.0,5343.0,73.0,18.0,0.0,72.0,41.0,0.0,6.0,61.91,580.11,1116.0,27.25,4.03,-3.53,0.0
149,2018/2019,2,08/08/2018,6404.0,5711.0,8.0,30.0,0.0,67.0,36.0,0.0,29.0,102.27,572.64,418.0,26.13,3.5,-3.66,0.0
150,2018/2019,2,08/08/2018,6328.0,4538.0,14.0,19.0,0.0,36.0,14.0,5.0,1.0,57.61,481.27,278.0,25.99,4.04,-3.34,0.0
151,2018/2019,2,08/08/2018,826.0,1108.0,14.0,0.0,0.0,16.0,8.0,4.0,1.0,0.0,107.88,190.0,25.99,3.94,-3.34,0.0
152,2018/2019,2,08/08/2018,6039.0,5520.0,12.0,27.0,0.0,66.0,29.0,0.0,3.0,100.37,637.62,710.0,25.79,3.26,-3.1,0.0
153,2018/2019,2,08/08/2018,5616.0,4897.0,2.0,14.0,0.0,44.0,10.0,0.0,2.0,34.74,618.59,207.0,25.77,4.16,-3.08,0.0
154,2018/2019,2,08/08/2018,5937.0,4736.0,5.0,23.0,0.0,30.0,19.0,3.0,7.0,73.27,528.85,198.0,25.68,4.49,-3.68,0.0
155,2018/2019,2,08/08/2018,692.0,1087.0,5.0,6.0,0.0,6.0,8.0,2.0,1.0,22.58,109.61,83.0,25.68,3.46,-3.68,0.0
156,2018/2019,2,08/08/2018,6667.0,4736.0,20.0,22.0,0.0,34.0,19.0,5.0,11.0,59.53,453.35,327.0,25.67,4.12,-3.5,0.0
157,2018/2019,2,08/08/2018,756.0,1196.0,20.0,4.0,0.0,18.0,14.0,5.0,7.0,12.61,100.87,253.0,25.67,3.97,-3.31,0.0
158,2018/2019,2,08/08/2018,5985.0,5629.0,9.0,22.0,0.0,81.0,37.0,0.0,1.0,54.83,556.38,961.0,25.51,3.73,-3.26,0.0
159,2018/2019,2,08/08/2018,6988.0,4823.0,6.0,31.0,0.0,40.0,19.0,3.0,3.0,84.43,583.73,299.0,25.05,3.5,-3.16,0.0
160,2018/2019,2,08/08/2018,807.0,1142.0,6.0,1.0,0.0,19.0,11.0,3.0,2.0,2.59,109.76,202.0,25.05,3.24,-3.16,0.0
161,2018/2019,2,08/08/2018,6474.0,6259.0,0.0,25.0,0.0,45.0,26.0,0.0,7.0,65.75,690.06,312.0,24.62,3.44,-3.78,0.0
162,2018/2019,2,08/08/2018,6270.0,4627.0,0.0,18.0,1.0,28.0,19.0,1.0,15.0,52.38,490.51,139.0,23.54,3.01,-2.81,0.0
163,2018/2019,2,08/08/2018,6220.0,5946.0,0.0,22.0,0.0,59.0,30.0,0.0,7.0,80.78,628.77,340.0,23.44,3.99,-3.4,0.0
